,Activity_Time,Brightness,Light,End_Time,Activity_Time(last 2 hours),Start_SleepTime,Brightness(last 2 hours),Light(last 2 hours),Sleep quality,End_SleepTime,Awake,Sleep,Out_Of_Bed,Light_Sleep,Deep_Sleep,REM,Total_Hours
0,0 days 01:54:31.036000,38.0,18.0,2022-04-25 09:39:22.910000+01:00,0 days 00:39:34.043000,2022-04-25 03:09:14,57.5,31.5,1.5,2022-04-25 09:32:35,0 days 00:04:21,0 days,0 days,0 days 01:39:00,0 days 03:40:00,0 days 01:00:00,0 days 06:19:00
1,0 days 02:23:31.996000,48.0,14.0,2022-04-27 12:34:23+01:00,0 days 01:09:39.363000,2022-04-27 00:53:00,26.0,1.0,3.0,2022-04-27 08:15:00,0 days 00:00:00,0 days,0 days,0 days 05:55:00,0 days 01:27:00,0 days 00:00:00,0 days 07:22:00
2,0 days 02:25:28.570000,46.5,3.5,2022-04-28 11:26:14.570000+01:00,0 days 01:08:02.314000,2022-04-28 02:49:00,41.0,14.0,4.0,2022-04-28 10:26:00,0 days 00:00:00,0 days,0 days,0 days 07:15:00,0 days 00:22:00,0 days 00:00:00,0 days 07:37:00
3,0 days 05:17:11.577000,41.0,10.0,2022-04-29 14:04:07.688000+01:00,0 days 00:06:30.241000,2022-04-29 03:05:00,46.0,15.0,2.5,2022-04-29 14:04:00,0 days 00:25:00,0 days,0 days,0 days 09:02:00,0 days 01:32:00,0 days 00:00:00,0 days 10:34:00
4,0 days 01:04:33.555000,54.0,1.0,2022-04-30 11:15:38.285000+01:00,0 days 00:30:51.173000,2022-04-30 03:48:00,41.0,0.0,4.0,2022-04-30 10:19:00,0 days 00:00:00,0 days,0 days,0 days 05:01:00,0 days 01:30:00,0 days 00:00:00,0 days 06:31:00
5,0 days 02:31:33.601000,44.0,9.0,2022-05-02 08:22:12.429000+01:00,0 days 00:48:14.992000,2022-05-02 01:45:00,29.0,5.0,3.0,2022-05-02 08:21:00,0 days 00:00:00,0 days,0 days,0 days 05:01:00,0 days 01:35:00,0 days 00:00:00,0 days 06:36:00
6,0 days 02:47:11.090000,43.0,8.0,2022-05-03 08:00:26.795000+01:00,0 days 01:29:23.347000,2022-05-02 23:59:00,42.0,9.0,3.5,2022-05-03 08:10:00,0 days 00:02:00,0 days,0 days,0 days 06:45:00,0 days 01:24:00,0 days 00:00:00,0 days 08:09:00
7,0 days 08:59:23.658000,60.0,13.0,2022-05-04 09:50:52.658000+01:00,0 days 00:24:44.795000,2022-05-04 02:17:00,55.0,45.0,2.0,2022-05-04 09:51:00,0 days 00:00:00,0 days,0 days,0 days 06:11:00,0 days 01:23:00,0 days 00:00:00,0 days 07:34:00
8,0 days 03:07:04.676000,45.0,20.0,2022-05-05 11:21:57.190000+01:00,0 days 00:55:35.570000,2022-05-05 02:28:00,34.0,5.0,4.0,2022-05-05 10:44:00,0 days 00:00:00,0 days,0 days,0 days 05:54:00,0 days 01:42:00,0 days 00:00:00,0 days 07:36:00
